timestamp,open,high,low,close,volume
2013-04-30 19:12:00,29.9800,29.9800,29.9800,29.9800,100
2013-04-30 18:29:00,29.9900,29.9900,29.9900,29.9900,2950
2013-04-30 18:20:00,29.9800,29.9800,29.9800,29.9800,200
2013-04-30 18:17:00,29.9900,29.9900,29.9900,29.9900,200
2013-04-30 17:24:00,29.9900,29.9900,29.9900,29.9900,200
2013-04-30 17:13:00,29.9700,29.9700,29.9700,29.9700,200
2013-04-30 16:49:00,29.9900,29.9900,29.9900,29.9900,200
2013-04-30 16:31:00,29.9800,29.9900,29.9700,29.9900,15950
2013-04-30 16:30:00,29.9900,29.9900,29.9900,29.9900,8500
2013-04-30 16:26:00,29.9900,29.9900,29.9900,29.9900,6000
2013-04-30 16:24:00,29.9900,29.9900,29.9900,29.9900,9000
2013-04-30 16:14:00,29.9900,29.9900,29.9900,29.9900,100
2013-04-30 16:11:00,29.9900,29.9900,29.9900,29.9900,500
2013-04-30 16:07:00,29.9900,29.9900,29.9900,29.9900,150
2013-04-30 16:00:00,29.9800,29.9800,29.9800,29.9800,19998
2013-04-30 15:59:00,30.0000,30.0200,29.9900,30.0000,129473
2013-04-30 15:58:00,30.0200,30.0200,30.0000,30.0080,12071
2013-04-30 15:57:00,30.0280,30.0280,30.0190,30.0190,26705
2013-04-30 15:56:00,30.0160,30.0294,30.0160,30.0294,3043
2013-04-30 15:55:00,30.0100,30.0199,30.0100,30.0199,3500
2013-04-30 15:54:00,30.0000,30.0100,29.9900,30.0100,13000
2013-04-30 15:53:00,29.9900,30.0100,29.9900,30.0099,11900
2013-04-30 15:52:00,30.0000,30.0000,29.9900,29.9995,29268
2013-04-30 15:51:00,29.9973,30.0000,29.9973,29.9975,2800
2013-04-30 15:50:00,30.0000,30.0058,29.9950,30.0000,21108
2013-04-30 15:49:00,30.0080,30.0080,30.0071,30.0080,4900
2013-04-30 15:48:00,30.0100,30.0100,30.0084,30.0084,36284
2013-04-30 15:47:00,30.0180,30.0180,30.0100,30.0100,4800
2013-04-30 15:46:00,30.0100,30.0200,30.0100,30.0200,939
2013-04-30 15:45:00,30.0100,30.0178,30.0100,30.0100,2764
2013-04-30 15:44:00,30.0280,30.0300,30.0101,30.0101,8548
2013-04-30 15:43:00,30.0220,30.0220,30.0220,30.0220,806
2013-04-30 15:42:00,30.0150,30.0246,30.0150,30.0200,8450
2013-04-30 15:41:00,30.0190,30.0190,30.0100,30.0110,720
2013-04-30 15:40:00,30.0199,30.0199,30.0180,30.0199,3057
2013-04-30 15:39:00,30.0200,30.0220,30.0200,30.0200,820
2013-04-30 15:38:00,30.0200,30.0300,30.0200,30.0200,6968
2013-04-30 15:37:00,30.0300,30.0300,30.0299,30.0299,3600
2013-04-30 15:36:00,30.0300,30.0300,30.0300,30.0300,5000
2013-04-30 15:35:00,30.0400,30.0400,30.0300,30.0300,3900
2013-04-30 15:34:00,30.0301,30.0301,30.0301,30.0301,100
2013-04-30 15:33:00,30.0380,30.0380,30.0310,30.0310,3800
2013-04-30 15:32:00,30.0390,30.0390,30.0390,30.0390,665
2013-04-30 15:31:00,30.0380,30.0380,30.0380,30.0380,500
2013-04-30 15:30:00,30.0399,30.0399,30.0399,30.0399,500
2013-04-30 15:28:00,30.0400,30.0400,30.0350,30.0350,3830
2013-04-30 15:26:00,30.0300,30.0300,30.0300,30.0300,1400
2013-04-30 15:24:00,30.0400,30.0400,30.0400,30.0400,2700
2013-04-30 15:23:00,30.0400,30.0400,30.0400,30.0400,900
2013-04-30 15:22:00,30.0466,30.0500,30.0400,30.0400,3700
2013-04-30 15:21:00,30.0499,30.0499,30.0423,30.0485,1300
2013-04-30 15:20:00,30.0500,30.0500,30.0500,30.0500,6750
2013-04-30 15:19:00,30.0400,30.0490,30.0400,30.0490,1750
2013-04-30 15:18:00,30.0390,30.0390,30.0390,30.0390,1000
2013-04-30 15:16:00,30.0500,30.0500,30.0390,30.0400,9200
2013-04-30 15:15:00,30.0480,30.0480,30.0480,30.0480,1000
2013-04-30 15:14:00,30.0458,30.0499,30.0420,30.0420,1355
