    - Ended scoring round 104/3000 with score 0.70, trading score: -0.23
    - Ended scoring round 105/3000 with score 1.43, trading score: -1.38
    - Ended scoring round 106/3000 with score 0.10, trading score: -0.12
    - Ended scoring round 107/3000 with score 2.10, trading score: 0.28
    - Ended scoring round 108/3000 with score 1.86, trading score: -0.81
    - Ended scoring round 109/3000 with score 1.72, trading score: -1.31
    - Ended scoring round 110/3000 with score 0.69, trading score: -0.45
    - Ended scoring round 111/3000 with score 0.86, trading score: -0.00
    - Ended scoring round 112/3000 with score 0.45, trading score: -0.39
    - Ended scoring round 113/3000 with score 0.54, trading score: -0.76
    - Ended scoring round 114/3000 with score 0.65, trading score: -1.21
    - Ended scoring round 115/3000 with score 0.81, trading score: -0.37
    - Ended scoring round 116/3000 with score 1.27, trading score: -0.89
    - Ended scoring round 117/3000 with score 1.56, trading score: -0.32
    - Ended scoring round 118/3000 with score 2.21, trading score: -0.86
    - Ended scoring round 119/3000 with score 0.91, trading score: -0.30
    - Ended scoring round 120/3000 with score 1.52, trading score: -0.33
    - Ended scoring round 121/3000 with score 1.43, trading score: -1.34
    - Ended scoring round 122/3000 with score 0.40, trading score: 0.15
    - Ended scoring round 123/3000 with score 1.24, trading score: -0.30
    - Ended scoring round 124/3000 with score 0.24, trading score: 0.40
    - Ended scoring round 125/3000 with score 1.43, trading score: 0.25
    - Ended scoring round 126/3000 with score 1.37, trading score: 0.38
    - Ended scoring round 127/3000 with score 1.35, trading score: -0.34
    - Ended scoring round 128/3000 with score 0.99, trading score: -0.31
    - Ended scoring round 129/3000 with score 1.16, trading score: -0.36
    - Ended scoring round 130/3000 with score 1.47, trading score: -0.20
    - Ended scoring round 131/3000 with score 0.88, trading score: -0.82
    - Ended scoring round 132/3000 with score 0.16, trading score: -0.60
    - Ended scoring round 133/3000 with score 0.29, trading score: -0.72
    - Ended scoring round 134/3000 with score 0.96, trading score: -0.68
    - Ended scoring round 135/3000 with score 0.52, trading score: -0.47
    - Ended scoring round 136/3000 with score 0.80, trading score: -0.73
    - Ended scoring round 137/3000 with score 0.85, trading score: -0.96
    - Ended scoring round 138/3000 with score 0.74, trading score: -0.40
    - Ended scoring round 139/3000 with score 1.07, trading score: -1.22
    - Ended scoring round 140/3000 with score 1.98, trading score: 0.16
    - Ended scoring round 141/3000 with score 2.90, trading score: 1.16
    - Ended scoring round 142/3000 with score 1.82, trading score: -0.24
    - Ended scoring round 143/3000 with score 1.32, trading score: -1.38
    - Ended scoring round 144/3000 with score 1.35, trading score: 0.32
    - Ended scoring round 145/3000 with score 1.16, trading score: 0.51
    - Ended scoring round 146/3000 with score 1.74, trading score: 0.99
    - Ended scoring round 147/3000 with score 2.08, trading score: 1.63
    - Ended scoring round 148/3000 with score 1.65, trading score: 2.58
    - Ended scoring round 149/3000 with score 1.95, trading score: 2.48
    - Ended scoring round 150/3000 with score 1.17, trading score: 2.15
    - Ended scoring round 151/3000 with score 1.10, trading score: 2.61
    - Ended scoring round 152/3000 with score 1.79, trading score: 1.26
    - Ended scoring round 153/3000 with score 0.86, trading score: 0.92
    - Ended scoring round 154/3000 with score 1.45, trading score: 0.38
    - Ended scoring round 155/3000 with score 1.99, trading score: -0.81
    - Ended scoring round 156/3000 with score 0.62, trading score: -1.03
    - Ended scoring round 157/3000 with score 1.04, trading score: -0.92
    - Ended scoring round 158/3000 with score 0.85, trading score: -0.93
    - Ended scoring round 159/3000 with score -1.48, trading score: -1.38
    - Ended scoring round 160/3000 with score 0.68, trading score: -1.15
    - Ended scoring round 161/3000 with score 0.60, trading score: -0.24
    - Ended scoring round 162/3000 with score 0.93, trading score: 0.57
    - Ended scoring round 163/3000 with score 1.09, trading score: -0.34
    - Ended scoring round 164/3000 with score 1.22, trading score: 0.53
    - Ended scoring round 165/3000 with score 1.20, trading score: 0.44
    - Ended scoring round 166/3000 with score 1.22, trading score: -0.92
    - Ended scoring round 167/3000 with score 1.97, trading score: -1.70
    - Ended scoring round 168/3000 with score 1.73, trading score: -1.04
    - Ended scoring round 169/3000 with score 0.84, trading score: 0.20
    - Ended scoring round 170/3000 with score 1.07, trading score: -0.29
    - Ended scoring round 171/3000 with score -0.08, trading score: -1.56
    - Ended scoring round 172/3000 with score 1.69, trading score: -0.88
    - Ended scoring round 173/3000 with score 1.57, trading score: -1.03
    - Ended scoring round 174/3000 with score 0.28, trading score: -0.72
    - Ended scoring round 175/3000 with score 0.58, trading score: 0.00
    - Ended scoring round 176/3000 with score 0.99, trading score: -0.29
    - Ended scoring round 177/3000 with score 1.73, trading score: -0.12
    - Ended scoring round 178/3000 with score 1.11, trading score: -1.08
    - Ended scoring round 179/3000 with score 0.58, trading score: -1.13
    - Ended scoring round 180/3000 with score 0.74, trading score: -1.68
    - Ended scoring round 181/3000 with score 0.93, trading score: -0.92
    - Ended scoring round 182/3000 with score 0.79, trading score: -0.40
    - Ended scoring round 183/3000 with score 0.68, trading score: -0.40
    - Ended scoring round 184/3000 with score 1.11, trading score: -0.56
    - Ended scoring round 185/3000 with score 0.27, trading score: -0.75
    - Ended scoring round 186/3000 with score 1.28, trading score: -0.13
    - Ended scoring round 187/3000 with score 1.62, trading score: -0.70
    - Ended scoring round 188/3000 with score 1.18, trading score: -1.31
    - Ended scoring round 189/3000 with score 2.24, trading score: -1.11
    - Ended scoring round 190/3000 with score 0.65, trading score: 0.12
    - Ended scoring round 191/3000 with score 1.01, trading score: -1.51
    - Ended scoring round 192/3000 with score 2.05, trading score: -1.63
    - Ended scoring round 193/3000 with score -2.31, trading score: 1.28
    - Ended scoring round 194/3000 with score 2.75, trading score: -2.00
    - Ended scoring round 195/3000 with score -1.51, trading score: -0.52
    - Ended scoring round 196/3000 with score -2.97, trading score: 0.08
    - Ended scoring round 197/3000 with score 2.30, trading score: -1.66
    - Ended scoring round 198/3000 with score 1.20, trading score: -1.69
    - Ended scoring round 199/3000 with score 1.64, trading score: -1.92
    - Ended scoring round 200/3000 with score 1.84, trading score: -1.09
    - Ended scoring round 201/3000 with score 1.56, trading score: -0.88
    - Ended scoring round 202/3000 with score 1.07, trading score: -0.54
    - Ended scoring round 203/3000 with score 0.07, trading score: -1.01
    - Ended scoring round 204/3000 with score 1.10, trading score: -1.13
    - Ended scoring round 205/3000 with score 0.84, trading score: -1.05
    - Ended scoring round 206/3000 with score 1.76, trading score: -0.59
    - Ended scoring round 207/3000 with score 0.33, trading score: -0.77
    - Ended scoring round 208/3000 with score 1.89, trading score: -0.79
    - Ended scoring round 209/3000 with score 1.71, trading score: -1.25
    - Ended scoring round 210/3000 with score 1.75, trading score: -0.52
    - Ended scoring round 211/3000 with score 2.08, trading score: -1.30
    - Ended scoring round 212/3000 with score 1.28, trading score: -0.80
    - Ended scoring round 213/3000 with score 1.25, trading score: -1.06
    - Ended scoring round 214/3000 with score 1.26, trading score: -1.09
    - Ended scoring round 215/3000 with score 1.13, trading score: -0.82
    - Ended scoring round 216/3000 with score 1.14, trading score: -0.91
    - Ended scoring round 217/3000 with score 1.42, trading score: -1.72
    - Ended scoring round 218/3000 with score 1.49, trading score: -1.91
    - Ended scoring round 219/3000 with score 1.05, trading score: -0.93
    - Ended scoring round 220/3000 with score 1.49, trading score: -1.59
    - Ended scoring round 221/3000 with score 0.88, trading score: -2.16
    - Ended scoring round 222/3000 with score -1.17, trading score: -1.73
    - Ended scoring round 223/3000 with score -3.72, trading score: -0.82
    - Ended scoring round 224/3000 with score -2.63, trading score: -1.91
    - Ended scoring round 225/3000 with score -2.69, trading score: -1.19
    - Ended scoring round 226/3000 with score -2.19, trading score: -1.48
    - Ended scoring round 227/3000 with score -2.94, trading score: -1.43
    - Ended scoring round 228/3000 with score -2.06, trading score: -1.24
    - Ended scoring round 229/3000 with score -2.31, trading score: 0.52
    - Ended scoring round 230/3000 with score 1.04, trading score: -1.35
    - Ended scoring round 231/3000 with score 1.42, trading score: -1.10
    - Ended scoring round 232/3000 with score 1.48, trading score: -2.28
    - Ended scoring round 233/3000 with score 1.65, trading score: -1.43
    - Ended scoring round 234/3000 with score 1.37, trading score: -1.66
    - Ended scoring round 235/3000 with score 1.57, trading score: -1.33
    - Ended scoring round 236/3000 with score 1.37, trading score: -1.50
    - Ended scoring round 237/3000 with score 1.78, trading score: 0.03
    - Ended scoring round 238/3000 with score 0.19, trading score: -0.42
    - Ended scoring round 239/3000 with score 0.57, trading score: -0.87
    - Ended scoring round 240/3000 with score 1.23, trading score: -1.24
    - Ended scoring round 241/3000 with score 1.79, trading score: 0.42
    - Ended scoring round 242/3000 with score 0.63, trading score: -0.59
    - Ended scoring round 243/3000 with score 0.60, trading score: -0.70
    - Ended scoring round 244/3000 with score 0.48, trading score: -0.84
    - Ended scoring round 245/3000 with score 1.12, trading score: -1.30
    - Ended scoring round 246/3000 with score 1.31, trading score: -1.13
    - Ended scoring round 247/3000 with score 1.17, trading score: -1.54
    - Ended scoring round 248/3000 with score 0.87, trading score: -1.18
    - Ended scoring round 249/3000 with score 1.61, trading score: -0.41
    - Ended scoring round 250/3000 with score 1.06, trading score: -0.58
    - Ended scoring round 251/3000 with score 1.11, trading score: -0.43
    - Ended scoring round 252/3000 with score 1.55, trading score: -0.04
