,datadate,turbulence
487,2017-06-07,60.78206328305531
488,2017-06-08,59.0765855293899
489,2017-06-09,58.86434693358648
490,2017-06-12,60.339227377179256
491,2017-06-13,52.51594923372524
492,2017-06-14,56.7491677380599
493,2017-06-15,69.03110112359438
494,2017-06-16,91.23238510662948
495,2017-06-19,59.24993575393436
496,2017-06-20,67.47149994031858
497,2017-06-21,61.60647572452645
498,2017-06-22,67.99999887119218
499,2017-06-23,80.36925209365897
500,2017-06-26,61.76839297300802
501,2017-06-27,53.43454905247271
502,2017-06-28,52.89818090355087
503,2017-06-29,67.21519342714244
504,2017-06-30,121.43368237172348
505,2017-07-03,97.04744716000681
506,2017-07-05,94.38038697215595
507,2017-07-06,79.89246241775575
508,2017-07-07,84.16046050289766
509,2017-07-10,77.46955819971102
510,2017-07-11,66.30631320489326
511,2017-07-12,53.01862786179523
512,2017-07-13,43.69100598853837
513,2017-07-14,46.68278826230409
514,2017-07-17,40.92343766883467
515,2017-07-18,44.31618412633278
516,2017-07-19,45.42539402135056
517,2017-07-20,69.38450648892805
518,2017-07-21,74.95446546040367
519,2017-07-24,79.22691457833851
520,2017-07-25,154.8139418034834
521,2017-07-26,205.69019222132295
522,2017-07-27,272.5334645240141
523,2017-07-28,184.58879950470507
524,2017-07-31,146.8217833565905
525,2017-08-01,117.52050444326137
526,2017-08-02,90.53546547340187
527,2017-08-03,77.47108336451241
528,2017-08-04,73.41508079696902
529,2017-08-07,77.93442917119168
530,2017-08-08,68.97037157847207
531,2017-08-09,77.73570034167253
532,2017-08-10,62.74094765808696
533,2017-08-11,51.663999379039815
534,2017-08-14,50.26112150473147
535,2017-08-15,52.307360193855615
536,2017-08-16,46.08284379864239
537,2017-08-17,44.999861830727006
538,2017-08-18,54.424811466871
539,2017-08-21,53.22274806179335
540,2017-08-22,49.27080877575773
541,2017-08-23,47.93040736435459
542,2017-08-24,44.48247790098632
543,2017-08-25,42.840701005886075
544,2017-08-28,51.36977347253073
545,2017-08-29,49.56619474123293
546,2017-08-30,54.62024015158041
547,2017-08-31,61.386926709538265
548,2017-09-01,146.1303669650129
549,2017-09-05,172.95329653083073
550,2017-09-06,147.8120545978843
551,2017-09-07,139.25124825298522
552,2017-09-08,125.9799839936985
553,2017-09-11,92.78303203243665
554,2017-09-12,98.97512649234991
555,2017-09-13,80.01847073987996
556,2017-09-14,77.34697802499238
557,2017-09-15,71.18029720388095
558,2017-09-18,75.45273035912987
559,2017-09-19,78.831060898947
560,2017-09-20,68.98274595430527
561,2017-09-21,73.98872615512408
562,2017-09-22,83.26111900456033
563,2017-09-25,78.11503791343777
