timestamp,close,open,high,low,volume
1999-11-01,135.5625,136.5000,137.0000,135.5625,4006500
1999-11-02,134.5937,135.9687,137.2500,134.5937,6516900
1999-11-03,135.5000,136.0000,136.3750,135.1250,7222300
1999-11-04,136.5312,136.7500,137.3593,135.7656,7907500
1999-11-05,137.8750,138.6250,139.1093,136.7812,7431500
1999-11-08,138.0000,137.0000,138.3750,136.7500,4649200
1999-11-09,136.7031,138.5000,138.6875,136.2812,4533700
1999-11-10,137.7187,136.2500,138.3906,136.0781,6405600
1999-11-11,138.5000,138.1875,138.5000,137.4687,4794100
1999-11-12,139.7500,139.2500,139.9843,137.1250,11802900
1999-11-15,140.0781,139.8437,140.2500,139.4062,2187500
1999-11-16,141.2500,140.5625,143.0000,140.0937,7544800
1999-11-17,141.6250,142.2500,142.9375,141.3125,9459000
1999-11-18,142.6250,142.4375,143.0000,141.6250,4491000
1999-11-19,142.5000,142.4062,142.9687,142.0000,4832100
1999-11-22,142.4687,142.4375,143.0000,141.5000,4155400
1999-11-23,141.2187,142.8437,142.8437,140.3750,5918000
1999-11-24,141.9687,140.7500,142.4375,140.0000,4459700
1999-11-26,141.4375,142.4687,142.8750,141.2500,1693900
1999-11-29,140.9375,140.8750,141.9218,140.4375,7348600
1999-11-30,139.2812,140.7500,142.3125,139.0000,7682000
1999-12-01,140.4062,139.3125,140.5000,139.0000,6980200
1999-12-02,141.2500,140.6250,141.3750,140.3750,6698300
1999-12-03,143.8437,143.0312,145.3437,143.0312,10045400
1999-12-06,142.7812,143.5312,143.7187,142.2500,3138900
1999-12-07,141.6250,143.2812,143.3125,141.3750,10714200
1999-12-08,140.7187,141.3437,142.0625,140.5000,4611400
1999-12-09,141.4062,141.8125,142.2187,139.3750,6474700
1999-12-10,141.8750,142.2812,142.8125,140.8750,5127300
1999-12-13,142.1250,141.4375,142.7187,141.2812,4210800
1999-12-14,140.7500,141.6250,142.4843,140.6250,5739000
1999-12-15,141.5000,140.3750,142.2031,140.0312,6879100
1999-12-16,142.1250,142.1875,142.6562,141.1562,5854900
1999-12-17,142.6875,143.0000,143.3125,142.0625,4775400
1999-12-20,141.6562,142.5625,143.1875,141.0937,4608700
1999-12-21,143.8125,141.5937,144.0625,141.3437,7981300
1999-12-22,144.1875,143.6250,144.1875,142.9687,5377500
1999-12-23,146.4843,145.0156,146.4843,145.0000,5721700
1999-12-27,146.2812,146.5000,146.7812,145.0625,2691000
1999-12-28,146.1875,145.8750,146.5000,145.4843,4084500
1999-12-29,146.8125,146.3125,146.8125,145.3125,3001000
1999-12-30,146.6406,147.1250,147.5625,146.1875,3641300
1999-12-31,146.8750,146.8437,147.5000,146.2500,3172700
2000-01-03,145.4375,148.2500,148.2500,143.8750,8164300
2000-01-04,139.7500,143.5312,144.0625,139.6406,8089800
2000-01-05,140.0000,139.9375,141.5312,137.2500,12177900
2000-01-06,137.7500,139.6250,141.5000,137.7500,6227200
2000-01-07,145.7500,140.3125,145.7500,140.0625,8066500
2000-01-10,146.2500,146.2500,146.9062,145.0312,5741700
2000-01-11,144.5000,145.8125,146.0937,143.5000,7503700
2000-01-12,143.0625,144.5937,144.5937,142.8750,6907700
2000-01-13,145.0000,144.4687,145.7500,143.2812,5158300
2000-01-14,146.9687,146.5312,147.4687,145.9687,7437300
2000-01-18,145.8125,145.3437,146.6250,145.1875,6488500
2000-01-19,147.0000,145.3125,147.0000,145.0000,6157900
2000-01-20,144.7500,146.9687,146.9687,143.8125,5800100
2000-01-21,144.4375,145.5000,145.5000,144.0625,6244800
2000-01-24,140.3437,145.6562,145.8437,139.4062,7896900
2000-01-25,141.9375,140.5156,141.9375,139.0000,9942500
2000-01-26,140.8125,141.0000,141.5468,140.0937,5158100
2000-01-27,140.2500,141.8437,142.2187,138.1250,10922700
2000-01-28,135.8750,139.4375,140.0625,135.5312,11916200
2000-01-31,139.5625,135.8125,139.6718,135.0000,10768700
2000-02-01,140.9375,139.7500,141.6875,138.5312,8419900
2000-02-02,141.0625,141.2812,142.2500,140.3750,6205900
2000-02-03,143.1875,140.8750,143.2500,140.0000,7997500
2000-02-04,142.5937,143.1875,144.0000,142.1250,4925400
2000-02-07,142.3750,142.5625,142.7812,141.4375,5845800
2000-02-08,144.3125,143.9687,144.5625,143.6250,4936400
2000-02-09,141.2812,144.4687,144.4687,141.2656,8511500
2000-02-10,141.5625,141.6250,142.5625,140.8750,6690600
2000-02-11,138.6875,141.8437,141.9375,138.0312,9849800
2000-02-14,139.5000,139.7812,139.7812,138.3125,8528800
